,car_id,name,amount,region,condition,mileage
118,gmrCXMEtZf7vuEpLJEyVWHW,Toyota RAV4 2013 Silver, 8944000,"Abuja (FCT), Gwarinpa",Nigerian Used,164884 
119,mzs0F3J1z9iqmlZ6HVnpuWPM,Lexus ES 2009 Gray, 4016250,"Lagos State, Alimosho",Nigerian Used,291504 
120,hlljV4akSWxfYherSuIyl4ok,Pontiac Torrent 2006 Black, 3675000,"Abuja (FCT), Mararaba",Nigerian Used,304692 
121,tUS80QftrMdxj3TG76zUl0hC,Ford Edge 2012 Silver, 3255000,"Abuja (FCT), Jabi",Nigerian Used,327505 
123,eZNqtyudAYy3D826UfbVoF3c,Toyota RAV4 2008 White, 3900000,"Oyo State, Ibadan",Nigerian Used,251766 
125,gc85LulerlDJ0HeM6Zg7lYof,Lexus ES 2002 Silver, 3640000,"Oyo State, Ibadan",Nigerian Used,231522 
126,8dCfYtYi4XtbtXvEmu6FxVyj,Toyota Camry 2011 Black, 3150000,"Oyo State, Ibadan",Nigerian Used,113131 
127,dYZCBa3bvGq0vZqTrqinKcjU,Toyota Highlander 2006 Green, 3360000,"Oyo State, Ibadan",Nigerian Used,180078 
128,gbDiN9tPVJTijuwwHEQMTAhD,Lexus LS 2008 Silver, 6240004,"Lagos State, Ogba",Nigerian Used,402077 
129,kafXEYevwavKDxrMJAGX7ulx,Lexus RX 330 2004 Silver, 4680000,"Lagos State, Ikeja",Nigerian Used,220201 
130,oCGqEtxwGRfNtj5m1vinotVm,Toyota Venza 2010 Brown, 5460000,"Abuja (FCT), Kubwa",Nigerian Used,93342 
131,nCcTMMally8ujPNPAgfwB0cD,Lexus GX 2003 Off white, 4992000,"Oyo State, Ibadan",Nigerian Used,151821 
132,34iEPp7Xm5LNgcqLNz97zy7A,Toyota Sienna 2009 Silver, 4056000,"Lagos State, Lekki",Nigerian Used,179137 
133,dTaNf9YREzROZq11wpx18lVr,Ford Explorer 2014 Orange, 4410000,"Abuja (FCT), Lugbe District",Nigerian Used,150852 
134,r7rZuTJkDaUzGCOr4YT34QOL,Toyota Highlander 2012 Black, 7800000,"Abuja (FCT), Lugbe District",Nigerian Used,214212 
135,mrTIX5JRB9jr6YWqlo6dciBr,Infiniti G 2011 Black, 4200000,"Lagos State, Lekki",Nigerian Used,100541 
136,ffx4FxuAecQNbvSfsi6xJ2bE,Toyota Venza 2012 Brown, 8060000,"Lagos State, Isolo",Nigerian Used,105321 
137,5D91WemxjWOEEIdwWVGwb8iE,Toyota Highlander Limited 2012 Burgandy, 5985000,"Rivers State, Port-Harcourt",Nigerian Used,75278 
138,cX6kSFQkvNCzMy30cIhWn9CZ,Toyota Solara 2006 Black, 1785000,"Oyo State, Ibadan",Nigerian Used,257290 
140,i2a2rGDd8RdRWFaXbd9XQsbV,Mercedes-Benz E350 2007 White, 3990000,"Oyo State, Ibadan",Foreign Used,283018 
141,8SSEd195csVuGkj9IkCDkHfS,Toyota Avalon 2008 Gray, 3120000,"Lagos State, Ogba",Nigerian Used,250514 
142,66t9JBm0E9cKIc38fi23vnkc,Lexus RX 2006 Gray, 6825000,"Abuja (FCT), Kubwa",Foreign Used,184575 
143,7wtxfG39iRS8EjszCSRDzf1C,Toyota Land Cruiser 2008 Black, 20160000,"Abuja (FCT), Wuse",Nigerian Used,138783 
144,a6U0pcVc3rWIC4vqMxtsXslz,Toyota Camry 2004 Gold, 2300000,"Abuja (FCT), Wuse",Nigerian Used,204179 
145,yu9jRB7Q6loE1f5wSFf5uYa7,Lexus ES 2005 White, 3432000,"Lagos State, Ojodu",Nigerian Used,187507 
146,Bc8qgnHduZN77XutkiGFpLk3,Lexus ES 2007 Black, 4200000,"Lagos State, Ifako-Ijaiye",Nigerian Used,115625 
147,3lZEoMsKoASHECOgBHRGzsox,Toyota Highlander 2011 Burgandy, 9360000,"Lagos State, Ogba",Nigerian Used,322165 
148,ksOq1KswTVISdvJZLYNLuPZc,Toyota Venza 2011 Black, 7280000,"Lagos State, Ajah",Nigerian Used,126699 
149,uZok379ivvtF6vYm7J0GVOdx,Toyota Camry 2013 Red, 6240000,"Abuja (FCT), Kubwa",Nigerian Used,113105 
150,7RPxQLBAdLXkvAZr53501SpD,Mercedes-Benz C300 2008 Black, 4056000,"Lagos State, Ikeja",Nigerian Used,140023 
151,prZstJELGVDSp2t7D6FgkO49,Acura MDX 2015 Black, 10473750,"Abuja (FCT), Wuse",Foreign Used,94691 
152,uDT2wAYNVjSrZ9u5nYetEJ8n,Toyota 4-Runner 2005 Black, 3224000,"Lagos State, Ojodu",Nigerian Used,162506 
153,3VRNzTjh6kDJhnP64wdCreJ5,Chevrolet Trax 2014 Gray, 4200000,"Abuja (FCT), Wuse",Nigerian Used,155223 
154,hbZs2X3yjWqHDNk78aT19p2a,Toyota Sienna 2012 Gray, 5250000,"Oyo State, Ibadan",Nigerian Used,347487 
155,wuMW1huAMBS94UEGUg0IPldt,Toyota Highlander 2007 Silver, 3728550,"Lagos State, Isolo",Nigerian Used,220106 
156,8BRxN9xi92HH6rqcjvm9ArRh,Toyota Highlander 2009 Blue, 4872000,"Lagos State, Ojodu",Nigerian Used,164036 
157,68V7jWu5IMjMcCS27TbVZyQQ,Toyota Camry 2010 Black, 3465000,"Rivers State, Port-Harcourt",Nigerian Used,127225 
158,xjc79eksxId81sZdFo0dFOxn,Mercedes-Benz GLK-Class 2015 Brown, 9660000,"Lagos State, Ilupeju",Nigerian Used,64585 
159,CzT1tSGfTMGwljOVFKU6EaVh,Toyota RAV4 2008 Red, 3990000,"Oyo State, Ibadan",Foreign Used,127064 
160,wnmynl4LZGz6oPcSgmiqm8iZ,Hummer H3 2007 Black, 5250000,"Lagos State, Ilupeju",Nigerian Used,109856 
161,xrJSLSFyKVyXqyXEgz3krsa8,Lexus RX 350 2007 Gold, 3675000,"Imo State, Owerri",Nigerian Used,136959 
162,oJrO6IYwVFqAjdq6VmaOh5BT,Acura MDX 2008 Purple, 5720000,"Lagos State, Ogba",Foreign Used,355228 
163,rCY94NetKEN16Qn24WIqz1kF,Toyota Highlander 2003 Blue, 5616000,"Lagos State, Apapa",Foreign Used,226186 
164,zoe0eK0ji7gnALdnMR2pCo8o,Ford F-150 2010 Black, 9880000,"Lagos State, Alimosho",Nigerian Used,93914 
165,CsL18SzxFBFWZvm8ciY507X8,Toyota Tacoma 2013 Gray, 15080000,"Abuja (FCT), Mararaba",Foreign Used,45097 
